fraction,seed,n_train,precision,recall,f1,tp,fp,fn
0.25,13,30,0.7272727272727273,0.3673469387755102,0.488135593220339,72,27,124
0.25,21,30,0.8041237113402062,0.3979591836734694,0.5324232081911263,78,19,118
0.25,42,30,0.8536585365853658,0.35714285714285715,0.5035971223021583,70,12,126
0.5,13,60,0.8080808080808081,0.40816326530612246,0.5423728813559322,80,19,116
0.5,21,60,0.7835051546391752,0.3877551020408163,0.5187713310580204,76,21,120
0.5,42,60,0.7954545454545454,0.35714285714285715,0.4929577464788732,70,18,126
0.75,13,89,0.8631578947368421,0.41836734693877553,0.5635738831615121,82,13,114
0.75,21,89,0.8252427184466019,0.4336734693877551,0.568561872909699,85,18,111
0.75,42,89,0.8316831683168316,0.42857142857142855,0.5656565656565656,84,17,112
1.0,13,119,0.822429906542056,0.4489795918367347,0.5808580858085809,88,19,108
1.0,21,119,0.822429906542056,0.4489795918367347,0.5808580858085809,88,19,108
1.0,42,119,0.8148148148148148,0.4489795918367347,0.5789473684210527,88,20,108
